PLAN_REF,FGDATE,PROPOSAL,APPDATE,LOCATION,STAGE,DECDATE,REGDATE,APPTYPE,DECISION
3581/18,04-04-2019,PROTECTED STRUCTURE;,26-07-2018,114 Grafton Street,Decision Notices Iss,26-02-2019,30-01-2019,Retention Permission,GRANT PERMISSION AND
2226/07,NULL,additional single fl,20-03-2007,Space 28  North Lott,Decision Notices Iss,28-03-2007,20-03-2007,Permission,APPLICATION DECLARED
2880/09,27-07-2009,PROTECTED STRUCTURE-,27-04-2009,114  Grafton Street,Decision Notices Iss,16-06-2009,27-04-2009,Permission,GRANT PERMISSION
2932/16,29-08-2016,PROTECTED STRUCTURE:,23-05-2016,114  Grafton Street,Decision Notices Iss,15-07-2016,23-05-2016,Permission,GRANT PERMISSION
2880/07,26-09-2007,PRO STRUCT: Change o,27-04-2007,114-115  Grafton Str,Decision Notices Iss,16-08-2007,23-07-2007,Permission,GRANT PERMISSION
1797/05,NULL,Amendment to the exi,04-03-2005,7-11 Sir John Rogers,Decision Notices Iss,23-03-2005,04-03-2005,Permission,APPLICATION DECLARED
2164/05,30-06-2005,Amendment to the exi,31-03-2005,7-11 Sir John Rogers,Decision Notices Iss,25-05-2005,31-03-2005,Permission,GRANT PERMISSION
2446/03,11-05-2004,55 bedroom hotel,30-05-2003,36/37 Ormond Quay Lo,Appeal Decided,22-01-2004,18-12-2003,Permission,GRANT PERMISSION
3259/15,19-10-2015,PROTECTED STRUCTURE:,17-07-2015,16-17  College Green,Decision Notices Iss,08-09-2015,17-07-2015,Permission,GRANT PERMISSION
4600/07,30-10-2007,PROTECTED STRUCTURE,01-08-2007,16/17  College Green,Decision Notices Iss,18-09-2007,01-08-2007,Permission,GRANT PERMISSION
2237/08,NULL,PROTECTED STRUCTURE,08-04-2008,Development to rear,Decision Notices Iss,17-04-2008,08-04-2008,Permission,APPLICATION DECLARED
6258/07,NULL,PROTECTED STRUCTURE,23-11-2007,Rear of 41  Westland,Appeal Decided,24-01-2008,23-11-2007,Permission,GRANT PERMISSION
2425/08,18-07-2008,PROTECTED STRUCTURE,21-04-2008,Rear of 40 and 41  W,Decision Notices Iss,06-06-2008,21-04-2008,Permission,GRANT PERMISSION
3431/04,04-01-2005,seven stories in tot,23-06-2004,6  Foley Street  Rea,Registered applicati,24-11-2004,29-10-2004,Permission,GRANT PERMISSION
2649/15,NULL,Construction of exte,23-04-2015,Bloom Lane  Dublin 1,Decision Notices Iss,17-06-2015,23-04-2015,Permission,REFUSE PERMISSION
2945/06,09-08-2006,erection of two gate,15-05-2006,Spencer Row  DUBLIN,Decision Appealed,04-07-2006,15-05-2006,Permission,GRANT PERMISSION
3603/09,NULL,PROTECTED STRUCTURE,31-07-2009,Pearse Station  West,Decision Notices Iss,24-09-2009,31-07-2009,Permission,REFUSE PERMISSION
2225/09,07-05-2009,PROTECTED STRUCTURE,04-02-2009,Pearse Station  West,Decision Notices Iss,27-03-2009,04-02-2009,Permission,GRANT PERMISSION
4052/17,24-01-2018,Replacement of 3 no.,12-10-2017,Unit 1  2 & 5 Ballas,Decision Notices Iss,04-12-2017,12-10-2017,Permission,GRANT PERMISSION
3020/13,01-05-2014,PROTECTED STRUCTURE:,30-07-2013,10  11 &  12  Westmo,Decision Notices Iss,21-03-2014,24-02-2014,Permission,GRANT PERMISSION
4732/08,22-01-2009,PROTECTED STRUCTURE,14-10-2008,Ground floor  1/2  O,Decision Notices Iss,01-12-2008,14-10-2008,Permission,GRANT PERMISSION
2792/05,28-07-2005,66 Upper O'Connell s,11-05-2005,66  O'Connell Street,Decision Notices Iss,22-06-2005,11-05-2005,Permission,GRANT PERMISSION
5196/05,18-01-2006,Erection of a replac,17-10-2005,66  O'Connell Street,Decision Notices Iss,06-12-2005,17-10-2005,Permission,GRANT PERMISSION
3009/17,NULL,PROTECTED STRUCTURE,26-05-2017,65/66  O'connell Str,Decision Notices Iss,10-01-2019,20-10-2017,Permission,WITHDRAWN ARTICLE 33
1389/06,NULL,Development will con,02-02-2006,66  Upper O Connell,Decision Notices Iss,29-03-2006,02-02-2006,Permission,REFUSE PERMISSION
2385/05,NULL,PROTECTED STRUCTURE,14-04-2005,66  O'Connell Street,Decision Notices Iss,05-05-2005,14-04-2005,Permission,APPLICATION DECLARED
4804/05,NULL,The erection of a re,16-09-2005,The National Irish B,Decision Notices Iss,28-09-2005,16-09-2005,Permission,APPLICATION DECLARED
3344/03,16-12-2003,PROTECTED STRUCTURE,17-07-2003,66  O'Connell Street,Decision Appealed,07-11-2003,13-10-2003,Permission,GRANT PERMISSION
2953/19,NULL,Planning permission,10-05-2019,Windmill Lane & Crei,Registered applicati,NULL,10-05-2019,Permission,NULL
3573/13,05-08-2014,PROTECTED STRUCTURE:,19-11-2013,65-66  O'Connell Str,Decision Notices Iss,24-06-2014,05-06-2014,Permission,GRANT PERMISSION
1587/04,21-05-2004,demolition of three,20-02-2004,195-196 and 197- 200,Decision Appealed,13-04-2004,20-02-2004,Permission,GRANT PERMISSION
2547/18,NULL,PROTECTED STRUCTURE:,21-03-2018,48/49 Wellington Qua,Appeal Decided,15-05-2018,21-03-2018,Permission,REFUSE PERMISSION
3782/05,09-11-2005,amendments to previo,13-07-2005,Viper Room  No 4 & 5,Appeal Decided,06-09-2005,13-07-2005,Permission,GRANT PERMISSION
3809/03,05-11-2003,Internal modificatio,07-08-2003,Lefroy House  12 - 1,Decision Appealed,30-09-2003,07-08-2003,Permission,GRANT PERMISSION
4087/17,30-01-2018,The development will,17-10-2017,38-39 Abbey Street,Decision Notices Iss,11-12-2017,17-10-2017,Permission,GRANT PERMISSION
3809/17,NULL,The development will,07-09-2017,38-39  Abbey Street,Decision Notices Iss,10-10-2017,07-09-2017,Permission,APPLICATION DECLARED
1197/03,NULL,PROTECTED STRUCTURE,19-03-2003,1-5 D'Olier Street,Managers Order,NULL,19-03-2003,Permission,APPLICATION WITHDRAW
2483/15,05-08-2015,Adjustments to exist,27-03-2015,2 - 4  Aston Quay  D,Decision Notices Iss,23-06-2015,29-05-2015,Permission,GRANT PERMISSION
2705/11,19-08-2011,PROTECTED STRUCTURE,17-05-2011,1  Dawson Street  Du,Decision Notices Iss,07-07-2011,17-05-2011,Permission,GRANT PERMISSION
1655/08,30-07-2008,PROTECTED STRUCTURE-,27-02-2008,119  Grafton Street,Decision Notices Iss,25-06-2008,29-05-2008,Permission,GRANT PERMISSION
3811/08,16-10-2008,change of use of par,24-07-2008,1  Jervis Street  Mi,Decision Notices Iss,02-09-2008,24-07-2008,Permission,GRANT PERMISSION
2457/19,11-06-2019,RETENTION: Retention,08-03-2019,The Celt Bar  81-82,Decision Notices Iss,30-04-2019,08-03-2019,Retention Permission,GRANT RETENTION PERM
3159/09,08-09-2009,RETENTION: 2no. inte,03-06-2009,Unit No. 3  35-41  P,Decision Notices Iss,28-07-2009,03-06-2009,Permission,GRANT PERMISSION
2915/09,NULL,Retention for 2no. s,01-05-2009,UNIT 3  35-41  Parne,Decision Notices Iss,08-05-2009,01-05-2009,Permission,APPLICATION DECLARED
4806/06,23-04-2007,Change of use from c,29-08-2006,4-11  Railway Street,Appeal Decided,20-10-2006,29-08-2006,Permission,GRANT PERMISSION
1967/07,NULL,PROTECTED STRUCTURE-,05-03-2007,20/22  College Green,Decision Notices Iss,18-04-2007,05-03-2007,Permission,REFUSE PERMISSION
2161/06,19-06-2006,construction of new,23-03-2006,Central Revenue Info,Decision Appealed,17-05-2006,23-03-2006,Permission,GRANT PERMISSION
WEB1015/19,23-04-2019,Planning permission,22-01-2019,Unit 3  13-18  City,Decision Notices Iss,15-03-2019,22-01-2019,Permission,GRANT PERMISSION
3980/08,06-11-2008,Change of use of an,07-08-2008,38  Talbot Street  D,Decision Notices Iss,29-09-2008,07-08-2008,Permission,GRANT PERMISSION
3639/06,31-10-2006,provision of off-lic,23-06-2006,Spar  Retail Unit 4,Decision Notices Iss,22-09-2006,01-09-2006,Permission,GRANT PERMISSION
4761/06,24-11-2006,development of shopf,25-08-2006,Retail Unit 5  (corn,Decision Notices Iss,19-10-2006,25-08-2006,Permission,GRANT PERMISSION
4285/06,NULL,Permission for chang,28-07-2006,Unit 5 Gregg Court,Decision Notices Iss,21-08-2006,28-07-2006,Permission,APPLICATION DECLARED
3704/03,05-11-2003,Change of use  descr,01-08-2003,28 & 29  Westmorelan,Decision Notices Iss,24-09-2003,01-08-2003,Permission,GRANT PERMISSION
3101/10,29-09-2010,PROTECTED STRUCTURE,30-06-2010,The Christian Brothe,Decision Notices Iss,19-08-2010,30-06-2010,Permission,GRANT PERMISSION
2735/10,13-09-2010,New signage (3.8m2),05-05-2010,19-20  City Quay  Du,Decision Notices Iss,28-07-2010,07-07-2010,Permission,GRANT PERMISSION
3829/15,03-03-2016,Provision of ESB sub,16-10-2015,10-12  Trinity Stree,Decision Notices Iss,22-01-2016,18-12-2015,Permission,GRANT PERMISSION
3164/14,21-05-2015,Change of use to sho,30-07-2014,10-12  Trinity Stree,Appeal Decided,15-12-2014,01-12-2014,Permission,GRANT PERMISSION
5031/06,01-12-2006,New mezzanine storag,12-09-2006,Unit 5  Gregg Court,Decision Notices Iss,26-10-2006,12-09-2006,Permission,GRANT PERMISSION
2692/14,22-09-2014,Change of use from r,20-05-2014,2  Dawson Street  Du,Decision Notices Iss,12-08-2014,30-07-2014,Permission,GRANT PERMISSION
2676/15,24-07-2015,Permission for new s,27-04-2015,2  Dawson Street  Du,Decision Notices Iss,11-06-2015,27-04-2015,Permission,GRANT PERMISSION
4805/06,28-11-2006,change of use to pre,29-08-2006,Unit 5  Gregg Court,Decision Notices Iss,23-10-2006,29-08-2006,Permission,GRANT PERMISSION
2034/12,19-04-2012,Subdivision of retai,18-01-2012,Retail Unit On The C,Decision Notices Iss,09-03-2012,18-01-2012,Permission,GRANT PERMISSION
3639/10,18-03-2011,PROTECTED STRUCTURE-,23-09-2010,7  William Street So,Appeal Decided,17-11-2010,23-09-2010,Permission,GRANT PERMISSION
1222/03,23-06-2003,PROTECTED STRUCTURE-,20-03-2003,4 5 6  Sir John Roge,Decision Notices Iss,13-05-2003,20-03-2003,Permission,GRANT PERMISSION
5788/04,18-03-2005,Material alterations,10-12-2004,33&34  Dame Street,Decision Notices Iss,10-02-2005,10-12-2004,Permission,GRANT PERMISSION
3984/04,NULL,change of use from o,30-07-2004,33/34  Dame Street,Decision Notices Iss,17-08-2004,30-07-2004,Permission,APPLICATION DECLARED
4285/04,01-12-2004,change of use from o,24-08-2004,33&34  Dame Street,Decision Appealed,26-10-2004,24-08-2004,Permission,GRANT PERMISSION
3691/16,NULL,PROTECTED STRUCTURE:,12-09-2016,30/31  O'Connell Str,Decision Notices Iss,16-09-2016,12-09-2016,Permission,APPLICATION DECLARED
5508/05,NULL,removal of the exist,04-11-2005,30/31  O'Connell Str,Decision Notices Iss,15-05-2006,18-04-2006,Permission,REFUSE PERMISSION
3811/18,28-11-2018,PROTECTED STRUCTURE:,28-08-2018,30-31  Lower O'Conne,Decision Notices Iss,22-10-2018,28-08-2018,Permission,GRANT PERMISSION
1585/05,12-07-2005,refurbishment works,18-02-2005,30/31  O'Connell Str,Decision Notices Iss,03-06-2005,10-05-2005,Permission,GRANT PERMISSION
2730/09,26-06-2009,The erection of non-,07-04-2009,4/4a  Princes Street,Decision Notices Iss,15-05-2009,07-04-2009,Permission,GRANT PERMISSION
4145/09,19-01-2010,Change of use of the,23-10-2009,10-12  Trinity Stree,Decision Notices Iss,03-12-2009,23-10-2009,Permission,GRANT PERMISSION
2180/17,04-08-2017,PROTECTED STRUCTURE,03-02-2017,23 Mary Street/Jervi,Decision Notices Iss,22-06-2017,30-05-2017,Permission,GRANT PERMISSION
5651/06,30-05-2007,Retention is sought,19-10-2006,Bobs Bar 35/36 Essex,Appeal Decided,13-12-2006,19-10-2006,Permission,GRANT PERMISSION
3183/13,NULL,PROTECTED STRUCTURE:,03-09-2013,19/20  Dame Street,Decision Notices Iss,25-10-2013,03-09-2013,Retention Permission,REFUSE RETENTION PER
3201/14,23-03-2015,PROTECTED STRUCTURE;,06-08-2014,19-22  Dame Street,Decision Notices Iss,09-02-2015,13-01-2015,Retention Permission,GRANT PERMISSION AND
2297/13,29-10-2013,Planning permission,07-03-2013,2  Dawson Street  Du,Appeal Decided,27-05-2013,10-05-2013,Permission,REFUSE PERMISSION
1386/05,12-07-2005,new shop front with,04-02-2005,Game Retail Unit  2,Decision Notices Iss,03-06-2005,17-05-2005,Permission,GRANT PERMISSION
2802/16,NULL,Re-instatement of a,04-05-2016,No.2 Dawson Street,Decision Notices Iss,15-06-2016,04-05-2016,Permission,REFUSE PERMISSION
2421/08,25-07-2008,Extension to existin,21-04-2008,35 & 36  Dame Street,Decision Notices Iss,11-06-2008,21-04-2008,Permission,GRANT PERMISSION
4232/17,23-02-2018,PROTECTED STRUCTURE:,10-11-2017,35-37  Essex Street,Decision Notices Iss,11-01-2018,10-11-2017,Permission,GRANT PERMISSION
3362/08,29-09-2008,PROTECTED STRUCTURE-,25-06-2008,35/36/37  Essex Stre,Decision Notices Iss,18-08-2008,25-06-2008,Permission,GRANT PERMISSION
5027/07,07-02-2008,PROTECTED STRUCTURE,29-08-2007,The Purty Kitchen  N,Decision Notices Iss,19-12-2007,29-11-2007,Permission,GRANT PERMISSION
3350/06,25-10-2006,PROTECTED STRUCTURE,07-06-2006,35/36 Essex Street E,Decision Notices Iss,19-09-2006,24-08-2006,Permission,GRANT PERMISSION
3505/15,02-12-2015,PROTECTED STRUCTURE:,27-08-2015,29/30  Dame Street,Decision Notices Iss,21-10-2015,27-08-2015,Permission,GRANT PERMISSION
2700/16,12-07-2016,Installation of a ne,18-04-2016,2  Dawson Street  Du,Decision Notices Iss,01-06-2016,18-04-2016,Permission,GRANT PERMISSION
2317/14,03-11-2014,RETENTION: To retain,07-03-2014,Celt Bar 81 & 82  Ta,Decision Notices Iss,22-09-2014,26-08-2014,Retention Permission,SPLIT DECISION(PERMI
2084/14,NULL,To retain covered co,22-01-2014,Celt Bar 81 & 82  T,Decision Notices Iss,20-02-2014,22-01-2014,Retention Permission,APPLICATION DECLARED
2606/10,16-07-2010,Installation of a 20,13-04-2010,Chapel House  1-9  C,Decision Notices Iss,04-06-2010,13-04-2010,Permission,GRANT PERMISSION
2200/18,03-07-2018,RETENTION: Retention,01-02-2018,42/43  Henry Street,Decision Notices Iss,25-05-2018,30-04-2018,Retention Permission,GRANT RETENTION PERM
2622/07,06-07-2007,PROTECTED STRUCTURE-,12-04-2007,Warehouse To Rear Of,Decision Notices Iss,24-05-2007,12-04-2007,Permission,GRANT PERMISSION
2150/07,NULL,PROTECTED STRUCTURE,14-03-2007,Warehouse to rear of,Decision Notices Iss,22-03-2007,14-03-2007,Permission,APPLICATION DECLARED
3407/09,05-10-2009,PROTECTED STRUCTURE,03-07-2009,26/27  Eden Quay  Du,Decision Notices Iss,21-08-2009,03-07-2009,Permission,GRANT PERMISSION
3296/12,NULL,PROT. STRUCTURE: Mod,28-09-2012,26/27  Eden Quay  Du,Decision Notices Iss,02-10-2012,28-09-2012,Permission,APPLICATION DECLARED
2118/15,01-05-2015,PROTECTED STRUCTURE:,27-01-2015,26/27  Eden Quay  Du,Decision Notices Iss,23-03-2015,27-01-2015,Permission,GRANT PERMISSION
2713/07,NULL,PROTECTED STRUCTURE,18-04-2007,Curved Street Buildi,Decision Notices Iss,27-04-2007,18-04-2007,Permission,APPLICATION DECLARED
3016/07,NULL,PROTECTED STRUCTURE,08-05-2007,Filmbase (Formerly M,Decision Notices Iss,21-06-2007,08-05-2007,Permission,REFUSE PERMISSION
2572/08,30-07-2008,PROTECTED STRUCTURE,29-04-2008,26/27  Eden Quay  Du,Decision Notices Iss,17-06-2008,29-04-2008,Permission,GRANT PERMISSION
4380/06,03-01-2007,PROTECTED STRUCTURE,03-08-2006,26/27  Eden Quay  Du,Decision Notices Iss,27-11-2006,08-11-2006,Permission,GRANT PERMISSION
3848/06,NULL,PROTECTED STRUCTURE,05-07-2006,26/27  Eden Quay  Du,Decision Notices Iss,28-07-2006,05-07-2006,Permission,APPLICATION DECLARED
3752/18,NULL,Demolition of an exi,20-08-2018,17-21  Foley Street,Decision Appealed,12-10-2018,20-08-2018,Permission,GRANT PERMISSION
3490/17,05-03-2018,Permission for alter,24-07-2017,23-24  Wellington Qu,Decision Notices Iss,18-01-2018,13-12-2017,Permission,GRANT PERMISSION
3356/18,20-09-2018,Planning Permission,25-06-2018,23-24  Wellington Qu,Decision Notices Iss,17-08-2018,25-06-2018,Permission,GRANT PERMISSION
2201/17,12-05-2017,1)Change of use of e,07-02-2017,23-24  Wellington Qu,Decision Notices Iss,03-04-2017,07-02-2017,Permission,GRANT PERMISSION
4002/17,19-01-2018,Amendments to prev.a,06-10-2017,23-24  Wellington Qu,Decision Notices Iss,30-11-2017,06-10-2017,Permission,GRANT PERMISSION
3515/17,02-11-2017,Alterations to exist,26-07-2017,23-24  Wellington Qu,Decision Notices Iss,19-09-2017,26-07-2017,Permission,GRANT PERMISSION
2759/12,22-01-2013,PROTECTED STRUCTURE,14-06-2012,The Jervis Centre  M,Appeal Decided,08-08-2012,14-06-2012,Permission,SPLIT DECISION(PERMI
4933/03,04-03-2004,change of use from o,10-10-2003,25  26  27 & 28  Str,Decision Appealed,28-01-2004,10-10-2003,Permission,GRANT PERMISSION
1915/07,NULL,Removal of fencing a,01-03-2007,12  Gloucester Stree,Decision Notices Iss,15-11-2007,19-10-2007,Permission,REFUSE PERMISSION
1840/06,NULL,Changes to the facad,03-03-2006,Temple Bar Music Cen,Decision Notices Iss,07-03-2006,03-03-2006,Permission,APPLICATION DECLARED
2395/15,08-01-2016,Demolition of existi,16-03-2015,54  Middle Abbey Str,Decision Notices Iss,16-11-2015,20-10-2015,Permission,GRANT PERMISSION
2078/15,NULL,Demolition of existi,20-01-2015,54  Middle Abbey Str,Decision Notices Iss,30-01-2015,20-01-2015,Permission,APPLICATION DECLARED
2241/15,NULL,Demolition of existi,19-02-2015,54  Middle Abbey Str,Decision Notices Iss,27-02-2015,19-02-2015,Permission,APPLICATION DECLARED
1041/06,27-11-2006,construction within,05-01-2006,Rear of 67-68  Gardi,Decision Notices Iss,28-09-2006,01-09-2006,Permission,GRANT PERMISSION
4452/09,23-03-2010,Change of use of gro,11-12-2009,11 Poolbeg Street an,Decision Notices Iss,09-02-2010,11-12-2009,Permission,GRANT PERMISSION
1858/03,16-09-2003,revision to previous,25-04-2003,39  Mary Street  Dub,Decision Appealed,11-08-2003,17-07-2003,Permission,GRANT PERMISSION
5341/07,12-12-2007,new structural glass,19-09-2007,Best Limited  39  Ma,Decision Notices Iss,24-10-2007,19-09-2007,Permission,GRANT PERMISSION
1384/05,05-05-2005,Alterations to a pre,04-02-2005,19-20  City Quay  Du,Decision Notices Iss,30-03-2005,04-02-2005,Permission,GRANT PERMISSION
2408/17,12-06-2017,Change of use from u,07-03-2017,41  Pearse Street  D,Decision Notices Iss,27-04-2017,07-03-2017,Permission,GRANT PERMISSION
2891/08,20-08-2008,new structural glass,21-05-2008,Best Menswear  39  M,Decision Notices Iss,08-07-2008,21-05-2008,Permission,GRANT PERMISSION
2278/17,NULL,PROTECTED STRUCTURE:,17-02-2017,94/96  Abbey Street,Appeal Decided,13-04-2017,17-02-2017,Permission,REFUSE PERMISSION
2819/13,23-09-2013,RETENTION: Retention,26-06-2013,14-15  Trinity Stree,Decision Notices Iss,13-08-2013,26-06-2013,Retention Permission,GRANT RETENTION PERM
3871/16,01-03-2017,PROTECTED STRUCTURE:,05-10-2016,Rear of 76  Gardiner,Decision Notices Iss,18-01-2017,13-12-2016,Permission,GRANT PERMISSION
4122/15,10-03-2016,PROTECTED STRUCTURE:,30-11-2015,76  Gardiner Street,Decision Notices Iss,29-01-2016,30-11-2015,Permission,GRANT PERMISSION
3392/15,NULL,PROTECTED STRUCTURE:,10-08-2015,76  Gardiner Street,Decision Notices Iss,30-09-2015,10-08-2015,Permission,REFUSE PERMISSION
2646/15,29-07-2015,PROTECTED STRUCTURE:,23-04-2015,76  Gardiner Street,Decision Notices Iss,15-06-2015,23-04-2015,Permission,GRANT PERMISSION
4204/09,26-07-2010,The provision of a s,05-11-2009,50/51  O 'Connell St,Decision Notices Iss,11-06-2010,18-05-2010,Permission,GRANT PERMISSION
2506/13,31-07-2013,Permission for new a,22-04-2013,18/19  College Green,Decision Notices Iss,13-06-2013,22-04-2013,Permission,GRANT PERMISSION
3372/13,24-04-2014,Development will con,10-10-2013,18/19  College Green,Appeal Decided,28-11-2013,10-10-2013,Permission,REFUSE PERMISSION
2391/05,14-07-2005,Proposed new timber,14-04-2005,45/46  Wellington Qu,Decision Notices Iss,08-06-2005,14-04-2005,Permission,GRANT PERMISSION
4224/05,09-11-2005,PROTECTED: change of,10-08-2005,45/46  Wellington Qu,Decision Appealed,04-10-2005,10-08-2005,Permission,GRANT PERMISSION
6325/06,13-03-2007,Change of use of par,30-11-2006,45/46  Wellington Qu,Decision Notices Iss,29-01-2007,30-11-2006,Permission,GRANT PERMISSION
1799/05,NULL,Proposed new timber,04-03-2005,45/46  Wellington Qu,Decision Notices Iss,07-04-2005,04-03-2005,Permission,APPLICATION DECLARED
3757/13,01-04-2014,PROTECTED STRUCTURE:,20-12-2013,Mulligans 8/9  Poolb,Decision Notices Iss,18-02-2014,20-12-2013,Permission,GRANT PERMISSION
2028/10,01-07-2010,PROTECTED STRUCTURE,08-01-2010,8/9  Poolbeg Street,Decision Notices Iss,20-05-2010,29-04-2010,Permission,GRANT PERMISSION
6580/06,23-03-2007,Permission for chang,15-12-2006,Trinity Street and L,Decision Notices Iss,16-02-2007,15-12-2006,Permission,GRANT PERMISSION
4657/18,NULL,PROTECTED STRUCTURE:,18-12-2018,No 8 O'Connell Stree,Decision Notices Iss,10-06-2019,14-05-2019,Permission,REFUSE PERMISSION
3310/07,27-08-2007,RETENTION - part cha,24-05-2007,Spar 70-72  Talbot S,Decision Notices Iss,11-07-2007,24-05-2007,Permission,GRANT PERMISSION
3846/17,25-05-2018,A 38 bedroom hotel r,13-09-2017,13  Trinity Street,Decision Notices Iss,13-04-2018,21-03-2018,Permission,GRANT PERMISSION
3603/10,21-12-2010,PROTECTED STRUCTURE,16-09-2010,46  Wellington Quay,Decision Notices Iss,08-11-2010,16-09-2010,Permission,GRANT PERMISSION
2004/19,04-04-2019,Construction of sing,02-01-2019,Ground and First Flo,Decision Notices Iss,26-02-2019,02-01-2019,Permission,GRANT PERMISSION
3027/08,NULL,For new shop front i,30-05-2008,Imperial Restaurant,Decision Notices Iss,24-07-2008,30-05-2008,Permission,REFUSE PERMISSION
3637/03,21-06-2004,Demolition of the fo,29-07-2003,Site Bounded by  Sha,Appeal Decided,27-01-2004,10-12-2003,Permission,GRANT PERMISSION
4709/08,19-01-2009,Alterations & modifi,13-10-2008,67A  Pearse Street,Decision Notices Iss,27-11-2008,13-10-2008,Permission,GRANT PERMISSION
3820/03,20-07-2004,Refurbishment of a f,08-08-2003,Madigans Public Hous,Appeal Decided,12-02-2004,19-01-2004,Permission,GRANT PERMISSION
2512/17,NULL,PROTECTED STRUCTURE:,20-03-2017,58/59  Abbey Street,Decision Notices Iss,12-05-2017,20-03-2017,Retention Permission,REFUSE RETENTION PER
2653/12,30-11-2012,Change of use of the,25-05-2012,18/19  College Green,Appeal Decided,18-07-2012,25-05-2012,Permission,REFUSE PERMISSION
2693/10,05-08-2010,PROTECTED STRUCTURE,28-04-2010,UNIT 9  GPO Arcade,Decision Notices Iss,21-06-2010,28-04-2010,Permission,GRANT PERMISSION
5088/06,05-04-2007,change of use to new,14-09-2006,18/19  College Green,Decision Notices Iss,23-02-2007,09-02-2007,Permission,GRANT PERMISSION
1447/08,NULL,RETENTION - 3 no. ca,12-02-2008,Londis  18/19  Colle,Decision Notices Iss,04-04-2008,12-02-2008,Permission,REFUSE PERMISSION
2013/11,16-06-2011,Change of use of vac,10-01-2011,11-12  St. Andrew St,Decision Notices Iss,04-05-2011,11-04-2011,Permission,GRANT PERMISSION
2928/09,29-07-2009,PROTECTED STRUCTURE-,01-05-2009,All at Lower Ground,Decision Notices Iss,18-06-2009,01-05-2009,Permission,GRANT PERMISSION
2366/10,27-04-2011,Change of use of gro,05-03-2010,3 4  Crow Street  &,Appeal Decided,17-11-2010,21-10-2010,Permission,GRANT PERMISSION
2058/11,NULL,PROTECTED STRUCTURE-,20-01-2011,68-69  O'Connell Str,Appeal Decided,27-09-2011,01-09-2011,Permission,GRANT PERMISSION
1674/04,NULL,alterations to exist,25-02-2004,18  Henry Street  Du,Decision Notices Iss,15-03-2004,25-02-2004,Permission,APPLICATION DECLARED
1079/08,NULL,change of use from 3,11-01-2008,4  Marlborough Place,Decision Notices Iss,15-01-2008,11-01-2008,Permission,APPLICATION DECLARED
1391/08,12-05-2008,Change of use from 3,07-02-2008,4  Marlborough Place,Decision Notices Iss,28-03-2008,07-02-2008,Permission,GRANT PERMISSION
3383/16,NULL,PROTECTED STRUCTURE:,21-07-2016,56 & 57  Dame Street,Decision Notices Iss,14-09-2016,21-07-2016,Permission,REFUSE PERMISSION
4661/05,29-11-2005,PROTECTED: conservat,07-09-2005,22/23  Suffolk Stree,Decision Appealed,24-10-2005,07-09-2005,Permission,GRANT PERMISSION
3497/08,29-09-2008,PROTECTED STRUCTURE-,04-07-2008,22/23  Suffolk Stree,Decision Notices Iss,18-08-2008,04-07-2008,Permission,GRANT PERMISSION
2125/13,09-05-2013,PROTECTED STRUCTURE:,05-02-2013,3 & 4  St. Andrew St,Decision Notices Iss,21-03-2013,05-02-2013,Permission,GRANT PERMISSION
2772/15,07-08-2015,Proposed alterations,14-05-2015,Dunnes Stores  28 No,Decision Notices Iss,26-06-2015,14-05-2015,Permission,GRANT PERMISSION
3298/08,NULL,PRO STRUCT: Extensio,19-06-2008,56 & 57  Dame Street,Decision Notices Iss,12-08-2008,19-06-2008,Permission,REFUSE PERMISSION
2778/13,NULL,PROTECTED STRUCTURE,18-06-2013,16/17  O Connell Str,Decision Notices Iss,20-06-2013,18-06-2013,Permission,APPLICATION DECLARED
5467/08,NULL,PROTECTED STRUCTURE-,23-12-2008,To rear of 41  Westl,Decision Notices Iss,14-01-2009,23-12-2008,Permission,APPLICATION DECLARED
2160/09,NULL,PROTECTED STRUCTURE,27-01-2009,All to rear of 41  W,Decision Notices Iss,07-04-2009,25-03-2009,Permission,REFUSE PERMISSION
3199/14,11-11-2014,PROTECTED STRUCTURE:,06-08-2014,16/17  O'Connell Str,Decision Notices Iss,30-09-2014,06-08-2014,Permission,GRANT PERMISSION
1881/04,10-09-2004,PROTECTED STRUCTUREp,11-03-2004,10/11  O' Connell St,Decision Appealed,05-08-2004,14-07-2004,Permission,GRANT PERMISSION
3031/10,14-04-2011,Provision of three r,21-06-2010,Madigans Public Hous,Decision Notices Iss,02-03-2011,04-02-2011,Permission,GRANT PERMISSION
4227/06,NULL,PROTECTED STRUCTURE-,25-07-2006,Warehouse To Rear Of,Decision Notices Iss,18-09-2006,25-07-2006,Permission,REFUSE PERMISSION
4346/09,NULL,PROTECTED STRUCTURE,26-11-2009,10-11  O'Connell Str,Decision Notices Iss,22-01-2010,26-11-2009,Retention Permission,REFUSE RETENTION PER
2061/11,05-05-2011,Replacement of exist,20-01-2011,45  Henry Street  Du,Decision Notices Iss,15-03-2011,20-01-2011,Permission,GRANT PERMISSION
3063/10,NULL,Replacement of exist,25-06-2010,45  Henry Street  Du,Decision Notices Iss,04-08-2010,25-06-2010,Permission,APPLICATION DECLARED
3395/10,17-11-2010,The replacement of e,12-08-2010,45  Henry Street  Du,Decision Notices Iss,06-10-2010,12-08-2010,Retention Permission,SPLIT DECISION(PERMI
